STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000115 12:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000115 13:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000116 15:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000116 17:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000116 23:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000120 05:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000120 06:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000120 07:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000120 08:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000120 09:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000120 10:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000120 11:00,0.01
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000120 12:00,0.01
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000120 13:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000120 14:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000120 15:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000120 20:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000120 21:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000120 22:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000120 23:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000121 00:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000121 01:00,0.01
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000121 02:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000121 03:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000121 04:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000121 05:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000121 09:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000123 12:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000123 13:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000123 14:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000125 10:00,0.06
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000125 11:00,0.04
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000125 12:00,0.02
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000125 13:00,0.02
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000125 14:00,0.01
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000125 15:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000125 16:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000125 17:00,0.01
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000125 18:00,0.01
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000125 19:00,0.01
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000125 20:00,0.01
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000125 21:00,0.01
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000125 22:00,0.04
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000125 23:00,0.04
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000126 00:00,0.07
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000126 01:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000126 02:00,0.01
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000126 03:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000126 04:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000126 05:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000126 10:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000126 11:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000126 12:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000126 13:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000126 14:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000126 15:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000126 16:00,0.00
COOP:300042,ALBANY INTERNATIONAL AIRPORT NY US,85.4,42.74722,-73.79913,20000126 17:00,0.00
